ID,GITHUB_ID,GITHUB_URL,USEFULL,COMMENT,PREFERED,GITHUB_OWNER_NAME,GITHUB_PROJECT_NAME,GITHUB_DESCRIPTION,GITHUB_LICENSE,GITHUB_IS_FORK,GITHUB_NR_STARGAZERS,GITHUB_NR_WATCHERS,GITHUB_NR_FORKS,GITHUB_NR_OPEN_ISSUES,GITHUB_REPO_CREATION_DATE,GITHUB_LANGUAGE,GIT_PULL_HASH,GIT_PULL_DATE,GIT_NR_COMMITS,GIT_NR_COMMITTERS,GIT_FIRST_COMMIT_DATE,GIT_LAST_COMMIT_DATE,PROCESSED,
335,40596205,https://github.com/tmikolov/word2vec,,,,tmikolov,word2vec,Automatically exported from code.google.com/p/word2vec,apache-2.0,0,184,184,90,36,2015-08-12,C,20c129af10659f7c50e86e3be406df663beff438,2017-11-24,44,4,2013-07-30,2017-07-17,0,
648,40956396,https://github.com/wkoszek/cpu60,,,,wkoszek,cpu60,Example of CPU simulation in software,bsd-2-clause,0,152,152,14,0,2015-08-18,C,5dda16d2b36a0f319d86ff3148f81a7de1f2a0d5,2017-11-24,17,2,2015-08-18,2015-11-03,0,
75,41394739,https://github.com/libratbag/libratbag,,,,libratbag,libratbag,A DBus daemon to configure gaming mice,mit,0,175,175,29,46,2015-08-26,C,9b3c33a2fe238566fb811d77886a00d7f34d734d,2017-11-23,1391,25,2015-08-13,2017-11-11,0,
567,41544095,https://github.com/espressif/ESP8266_IOT_PLATFORM,,,,espressif,ESP8266_IOT_PLATFORM,A demo that should be run with ESP8266 RTOS SDK,mit,0,157,157,79,7,2015-08-28,C,e5eadea3c2b37a4d5df9c89f920eb8f6703ff946,2017-11-24,17,8,2015-08-28,2016-10-25,0,
189,41688943,https://github.com/trailofbits/cb-multios,,,,trailofbits,cb-multios,"DARPA Challenges Sets for Linux, Windows, and macOS",mit,0,196,196,33,11,2015-08-31,C,bf5a7d2311ec0ab3b6b11261b9f3d01337b39c19,2017-11-24,356,12,2015-08-31,2017-08-10,0,
444,42356761,https://github.com/tenvick/hugula,,,,tenvick,hugula,"unity3d lua framwork  ,??? ,mvvm ",mit,0,165,165,85,3,2015-09-12,C,a89c7cebcddbff935fbfef57cdcefe5967a12d31,2017-11-24,108,6,2015-09-12,2017-11-17,0,
837,42393652,https://github.com/susam/uncap,,,,susam,uncap,"Map Caps Lock to Escape, or any key to any key",mit,0,142,142,6,0,2015-09-13,C,805adb9fec5de22d8c5f9c639c789f8aa0a1ecd6,2017-11-24,21,2,2015-09-13,2017-05-09,0,
482,43087387,https://github.com/tronkko/dirent,,,,tronkko,dirent,C/C++ library for retrieving information on files and directories,mit,0,162,162,88,1,2015-09-24,C,94ff8bdbb4e11eea5fba17b92edfcdc4b4ece769,2017-11-24,31,6,2015-09-24,2017-10-16,0,
501,45867575,https://github.com/dvidelabs/flatcc,,,,dvidelabs,flatcc,FlatBuffers Compiler and Library in C for C,apache-2.0,0,162,162,39,7,2015-11-09,C,aa1276339a8f9458fa4e478edfeedd940f0e6d4d,2017-11-24,644,11,2015-11-09,2017-11-14,0,
237,47219360,https://github.com/RoaringBitmap/CRoaring,,,,RoaringBitmap,CRoaring,Roaring bitmaps in C (and C++),apache-2.0,0,193,193,42,15,2015-12-01,C,5da915d242f384b0bcddcd1fa38be4859f1c976e,2017-11-24,683,17,2015-12-01,2017-11-15,0,
